date,val
771118,1482
771119,0
771120,0
771121,1432
771122,819
771123,1124
771124,2343
771125,0
771126,1918
771128,0
771129,2648
771130,1124
771202,1733
771203,0
771204,209
771205,0
771206,1733
771208,209
771209,0
771210,514
771211,0
771212,357
771213,0
771214,924
771216,0
771217,1884
771218,863
771219,2648
771220,209
771222,0
771223,0
771224,0
771225,0
771226,1344
771227,209
771228,0
771229,0
771230,209
780101,0
780102,0
780103,514
780104,209
780105,1733
780106,1788
780107,1894
780110,352
780112,0
780113,2038
780114,1492
780115,209
780116,0
780117,1647
780118,209
780121,575
780122,1124
780123,1065
780124,1711
780125,29
780128,0
780129,526
780130,1124
780131,514
780201,49
780202,1124
780205,1570
780206,947
780208,2187
780210,514
780211,0
780214,1733
780216,209
780218,1673
780221,2038
780222,1709
780223,1516
780224,1733
780225,2648
780226,2815
780227,2660
780228,2038
780301,514
780302,0
780303,1385
780304,209
780306,1401
780307,2394
780309,2766
780311,2696
780312,2837
780313,0
780314,2843
780315,3270
780317,2038
780319,2910
780320,2577
780321,3258
780322,2648
780323,2246
780324,3191
780327,2038
780328,3257
780329,1124
780405,4120
780407,3837
780408,3394
780409,3256
780410,2572
780412,2647
780415,4476
780417,4841
780420,2952
780423,2702
780428,5730
780430,3866
780502,3269
780503,0
780504,823
780505,2647
780506,144
780507,208
780510,2037
780511,4476
780513,2342
780514,3256
780516,3907
780517,2952
780518,2213
780519,1510
780521,410
780522,2753
780523,3489
780524,5010
780525,3943
780526,4150
780531,5860
780602,513
780608,4210
780609,3736
780610,4476
780612,5085
780616,0
780618,3644
780619,4320
780620,4780
780622,5085
780623,4782
780624,4583
780626,4476
780627,2952
780628,3256
780630,1123
780702,3656
780704,4710
780705,4800
780707,4788
780708,4999
780709,0
780710,4476
780712,513
780713,4553
780714,3613
780717,4476
780718,4185
780719,1123
780720,4476
780722,0
780726,208
780727,3256
780729,3256
780801,3350
780802,3284
780803,513
780805,2037
780807,2647
780809,0
780810,2823
780811,2037
780813,4476
780814,208
780817,4476
780818,3925
780824,0
780825,0
780826,0
780827,3631
780828,4260
780829,3509
780830,4240
780831,3398
780903,292
780904,0
780906,2647
780907,3142
780908,3473
780910,3658
780912,3624
780913,3256
780915,0
780916,2647
780917,0
780918,2389
780919,3496
780920,3656
780923,1123
780924,1587
780925,0
780926,1123
780927,2037
780928,2647
780929,2037
780930,2647
781002,3783
781004,1345
781005,3817
781006,1549
781008,4200
781009,3902
781010,4078
781012,2647
781013,2037
781014,1239
781015,1123
781018,3289
781019,3866
781020,2878
781022,615
781023,2647
781025,1431
781026,0
781027,1264
781028,1123
781029,818
781030,935
781031,2037
781101,0
781102,818
781105,1943
781107,2037
781108,990
781109,208
781110,2100
781111,0
781112,0
781113,0
781114,997
781115,208
781116,0
781118,513
781119,513
781120,1494
781122,433
781123,0
781125,0
781127,2037
781128,1423
781129,874
781130,0
781201,0
781202,0
781203,2367
781204,208
781205,562
781206,1313
781209,818
781210,601
781211,208
781213,324
781214,0
781215,449
781218,0
781219,98
781221,1123
781224,1405
781225,818
781226,1123
781227,208
781230,0
781231,0
790101,513
790103,563
790104,233
790106,107
790107,1384
790108,1225
790109,923
790110,656
790112,208
790113,0
790114,1123
790115,0
790118,1155
790120,1428
790121,887
790122,705
790123,2647
790124,818
790125,539
790127,1313
790130,2710
790201,818
790202,1362
790203,2966
790204,2037
790205,1613
790206,208
790207,0
790208,0
790209,1510
790212,0
790213,818
790214,1512
790218,2137
790220,2647
790222,3095
790225,2037
790226,1123
790227,818
790307,2060
790308,1732
790309,3756
790310,208
790311,2225
790313,2647
790314,4090
790315,2342
790316,1475
790317,4020
790319,3083
790321,233
790322,2962
790323,1732
790326,3013
790401,3328
790402,3866
790404,3655
790405,2359
790407,3561
790408,4120
790409,0
790410,1213
790411,0
790412,2647
790413,2736
790415,2909
790416,3357
790417,3541
790418,3256
790419,3683
790422,1511
790423,2905
790424,0
790425,2793
790426,208
790427,0
790428,3256
790429,0
790502,3256
790503,818
790504,892
790506,2390
790507,4476
790508,4507
790509,3256
790510,2037
790511,818
790512,2952
790513,2681
790515,3256
790516,208
790517,72
790519,2647
790520,4319
790521,0
790522,2647
790523,3994
790524,3360
790526,2753
790527,1123
790528,0
790530,3399
790531,3404
790601,0
790603,208
790604,3264
790605,1123
790606,1428
790607,0
790608,2037
790609,513
790610,2647
790611,2136
790612,1592
790614,2647
790615,3970
790616,3779
790618,4891
790620,2952
790621,2647
790622,4310
790623,3759
790624,3256
790625,4310
790626,3499
790628,4780
790629,4917
